Model,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8620689655172413,0.8823529411764706,0.872093023255814,0.8758513931888545
Random Forest,0.8314606741573034,0.8705882352941177,0.8505747126436781,0.7900928792569659
